Stock Ticker,RMSE,MAE,MAPE (%)
Dangote Cement,2.4541,1.6435,4.861930452604411e+17
MTN Nigeria,2.587,1.3137,8.12762386717674e+16
Guaranty Trust Holding,2.4736,1.5164,5046985236828119.0
Zenith Bank,2.5531,1.7602,3.838639467649591e+16
Airtel Africa,0.5681,0.1162,3.075807130846248e+16
Nestle Nigeria,1.7727,0.6573,1.0150339219444357e+17
Lafarge Africa,3.2738,2.5893,4.047432860066672e+17
UBA,3.1402,2.2154,3.696292579660334e+16
Access Holdings,2.6249,1.8022,5170852581390044.0
PZ Cussons Nigeria,4.0956,2.4056,1.3455520187537008e+17
Unilever Nigeria,3.1168,2.0493,3.149703694822419e+17
Conoil,2.5545,1.6783,4.75281257883059e+17
Total Nigeria,1.6206,0.6576,1.6274816993454938e+17
Chams,4.8096,3.7255,7.960247152173651e+16
BUA Cement,15.0255,13.1591,4.942954469048643e+18
